A,B,C,D,E,F
18,101.29,36,556.08,3.5833,12.4964
14,81.06,18,268,-20.1415,-19.4504
35,186.41,9,124.32,42.4411,40.9848
38,201.38,21,316.08,-33.9411,-33.9411
9,56.11,39,604.01,-40.7839,-19.0178
34,181.5,30,460.35,38.4833,21.3316
17,96.32,26,396.26,81.5922,32.9654
26,141.22,29,444.4,24.4703,11.4107
16,91.46,26,396.44,3.53179,1.87788
32,171,19,284.36,34.5727,77.6513
29,156.31,33,508.14,12.958,13.8957
13,76.27,25,380.4,42.4264,42.4264
6,41.06,30,460.01,32.1191,68.8794
9,56.03,4,44.23,34.7106,41.3664
31,166.18,26,396.15,-18.5414,-30.858
1,16.11,32,492.31,-3.56403,-1.81596
23,126.27,10,140.39,57.2036,38.5843
24,131.3,17,252.1,-6.80987,-13.3651
29,156.22,30,460.11,-9.7398,-24.1068
7,46.29,17,252.21,29.4138,80.8135
2,21.25,33,508.37,75.4335,9.26206
38,201.2,14,204.12,-50.8866,-75.4424
24,131.51,1,-3.5,-31.2586,-73.6404
15,86.36,10,140.21,-38.5673,-45.9626
3,26.15,17,252,29.3012,85.0966
31,166.48,25,380.51,16.604,48.2214
13,76.35,28,428.1,5.34604,2.72394
0,11.15,14,204.13,22.9237,23.7382
32,171.47,35,540.5,-53.7767,-21.7272
5,36.13,6,76.51,-38.3886,-47.4059
23,126.47,35,540.43,-20.427,-53.2141
4,31.48,32,492.43,44.821,10.3477
21,116.1,32,491.99,9.72024,20.8451
34,181.17,12,172.12,-8.91241,-1.25256
10,61.32,6,76.31,46.6427,29.1455
35,186.23,27,412.04,4.23936,6.78438
10,61.47,0,-19.51,44.6026,80.465
8,51.12,39,604.35,-58.6899,-58.6898
0,11.36,1,-3.75,-47.2807,-36.9397
21,116.22,4,44.35,-43.731,-24.2405
26,141.06,11,156.47,-25,-43.3013
35,186.44,38,588.01,-67.1969,-28.5234
6,41.56,6,76.55,-67.618,-65.2978
18,101.17,4,44.16,-8.72659,-15.7431
12,71.31,18,268.15,2.42705,1.76335
35,186,12,172.33,-58.7786,-80.9017
13,76.39,8,107.98,16.4015,18.8677
36,191.09,16,236.32,89.2708,32.4919
20,110.99,29,444.26,70.0036,70.0035
37,196.27,25,380.45,45.3012,7.98781
3,26.46,23,348.43,27.5558,44.0985
18,100.99,35,540.1,57.3407,40.1503
25,136.52,37,572.16,49.374,67.9574
8,51.32,33,508.39,-3.23607,-2.35114
2,21.36,1,-3.62,9.56305,2.92371
37,196.32,9,124.05,10.7979,2.0989
31,166.51,17,252.51,90.2105,32.8339
34,181.22,33,508.31,-39.2651,-7.63235
30,161.33,21,316.06,-34.7618,-90.5573
28,151.01,12,172.3,-1.71011,-4.69846
28,151.31,11,156.56,8.48529,8.48528
11,66.32,31,476.05,-8.60085,-22.4059
17,96.53,25,380.56,-76.815,-13.5445
2,21.22,16,236.49,-60.2218,-66.883
12,71.21,25,380.42,-59.5456,-38.6693
7,46.32,25,379.98,18.8405,13.1922
16,91.56,35,540.41,-13.5848,-11.8091
28,151.33,17,252.54,37.2825,53.2449
39,206.12,39,604.4,-59.1365,-70.476
31,166.54,35,540.32,-46.17,-51.277
21,116.34,9,124.55,21.1438,55.0812
6,41.3,34,524.08,-59.8793,-11.6393
32,171.37,2,12.34,-27.5317,-39.3193
22,121.44,4,44.37,-74.9107,-33.3524
30,161.43,35,540.13,51.5231,57.2221
29,156.55,21,316.03,55.7159,33.4775
14,81.34,4,43.97,63.5796,13.5142
6,41.17,15,220.39,-24.6744,-32.744
2,21.26,38,588.46,5.4464,8.3867
13,76.43,8,108.23,-16.3437,-32.0762
21,115.97,5,60.05,14.1069,19.4164
10,61.4,20,300.51,74.5609,31.6492
17,95.99,17,252.2,-33.4173,-27.0608
2,21.21,36,556.13,40.7032,23.5
11,66.28,14,204.04,-50.0001,-86.6025
20,111.17,23,348.39,56.0096,69.1659
19,106.15,2,11.99,6.89365,1.21554
1,16.24,30,460.31,-27.236,-70.9521
38,201.53,14,204.51,59.046,61.1438
39,206.25,37,572.38,-40.9863,-20.8835
13,76.21,24,364.37,25.5974,23.8699
30,161.27,25,380.46,-6.91454,-15.5303
35,186.41,7,92.06,-92.5652,-21.3703
19,106.39,28,428.02,-37.6302,-5.28857
26,141.37,24,364.22,32.9655,81.5921
5,36.21,8,108.18,-45.3111,-55.9545
30,161.19,0,-19.58,-14.4333,-16.6036
30,161.4,2,12.35,48.9151,47.2367
6,41.51,34,524.56,61.1315,53.1407
3,26.03,5,60.5,46.4131,68.8101
31,166.32,18,268.16,-88.8652,-23.8113
15,86.36,35,540.04,-65.3381,-34.7409
2,21.35,19,284.22,22.3359,30.7426
36,191.23,31,476.51,-7.90151,-1.25147
16,91.42,29,444.53,21.7267,34.77
27,146.48,6,76.03,-55.2848,-25.7797
29,156.12,34,524.07,-50.7434,-18.4691
22,121.05,30,460.52,-50.063,-9.73125
18,101.36,19,284.11,-59.971,-55.9238
35,186.07,14,204.38,-6.76191,-14.5009
31,166.27,38,588.01,-8.89919,-6.46563
18,101.3,39,604.09,-84.1207,-17.8804
16,91.02,26,396.41,-4.64881,-9.96938
2,21.38,27,412.23,41.5544,25.966
22,121.39,5,60.25,-19.4405,-41.6901
0,11.11,37,572.38,-25.715,-15.4511
9,56.51,20,300.12,-57.2222,-51.523
25,136.53,8,108.14,39.0683,32.7821
27,146.29,28,428.48,45.2549,45.2548
25,135.97,27,412.07,4.86261,5.03538
24,131.53,0,-19.98,23.4861,34.8196
12,71.31,13,188.32,0.406737,0.913545
12,71.07,19,284.25,5.2992,8.48048
5,36.25,13,188.24,-33.3786,-13.4858
29,156.54,25,380.24,-24.7241,-61.1941
4,31.19,4,44.12,7.07107,7.07106
2,21.03,8,108.56,-28.6014,-56.1334
21,116.43,7,92.21,1.7659,0.938942
3,26.51,35,540.25,-38.2333,-85.8732
30,161.23,38,588.46,-55.3069,-13.7895
